Sub,decodingModel,all.roi,feature_decoded,decAcc,attCond,WasLocAtt,WasFeaAtt,CalibrationType,feedbackGiven,Age
29,1v2,IFJ,C,87.5,aLaF,1,1,1,0,25
30,1v2,IFJ,C,75,aLaF,1,1,1,0,21
1,1v2,ACC,C,100,aLaF,1,1,0,0,30
2,1v2,ACC,C,100,aLaF,1,1,0,0,30
3,1v2,ACC,C,100,aLaF,1,1,0,0,24
4,1v2,ACC,C,100,aLaF,1,1,0,0,24
5,1v2,ACC,C,50,aLaF,1,1,0,0,28
6,1v2,ACC,C,100,aLaF,1,1,0,0,23
7,1v2,ACC,C,100,aLaF,1,1,0,0,22
8,1v2,ACC,C,87.5,aLaF,1,1,0,0,24
9,1v2,ACC,C,87.5,aLaF,1,1,0,0,23
10,1v2,ACC,C,75,aLaF,1,1,0,0,33
11,1v2,ACC,C,100,aLaF,1,1,0,0,21
12,1v2,ACC,C,100,aLaF,1,1,0,0,28
13,1v2,ACC,C,75,aLaF,1,1,0,1,25
14,1v2,ACC,C,62.5,aLaF,1,1,0,1,30
15,1v2,ACC,C,50,aLaF,1,1,0,1,22
16,1v2,ACC,C,100,aLaF,1,1,0,1,33
17,1v2,ACC,C,100,aLaF,1,1,0,1,28
18,1v2,ACC,C,87.5,aLaF,1,1,1,0,34
19,1v2,ACC,C,100,aLaF,1,1,1,0,29
20,1v2,ACC,C,87.5,aLaF,1,1,1,0,24
21,1v2,ACC,C,87.5,aLaF,1,1,1,0,29
22,1v2,ACC,C,100,aLaF,1,1,1,0,25
23,1v2,ACC,C,62.5,aLaF,1,1,1,0,35
24,1v2,ACC,C,87.5,aLaF,1,1,1,0,32
25,1v2,ACC,C,87.5,aLaF,1,1,1,0,23
26,1v2,ACC,C,87.5,aLaF,1,1,1,0,31
27,1v2,ACC,C,87.5,aLaF,1,1,1,0,31
28,1v2,ACC,C,75,aLaF,1,1,1,0,29
29,1v2,ACC,C,75,aLaF,1,1,1,0,25
30,1v2,ACC,C,87.5,aLaF,1,1,1,0,21
1,1v2,PM,C,100,aLaF,1,1,0,0,30
2,1v2,PM,C,81.25,aLaF,1,1,0,0,30
3,1v2,PM,C,93.75,aLaF,1,1,0,0,24
4,1v2,PM,C,93.75,aLaF,1,1,0,0,24
5,1v2,PM,C,81.25,aLaF,1,1,0,0,28
6,1v2,PM,C,56.25,aLaF,1,1,0,0,23
7,1v2,PM,C,81.25,aLaF,1,1,0,0,22
8,1v2,PM,C,68.75,aLaF,1,1,0,0,24
9,1v2,PM,C,50,aLaF,1,1,0,0,23
10,1v2,PM,C,75,aLaF,1,1,0,0,33
11,1v2,PM,C,75,aLaF,1,1,0,0,21
12,1v2,PM,C,81.25,aLaF,1,1,0,0,28
13,1v2,PM,C,56.25,aLaF,1,1,0,1,25
14,1v2,PM,C,68.75,aLaF,1,1,0,1,30
15,1v2,PM,C,75,aLaF,1,1,0,1,22
16,1v2,PM,C,62.5,aLaF,1,1,0,1,33
17,1v2,PM,C,75,aLaF,1,1,0,1,28
18,1v2,PM,C,87.5,aLaF,1,1,1,0,34
19,1v2,PM,C,56.25,aLaF,1,1,1,0,29
20,1v2,PM,C,81.25,aLaF,1,1,1,0,24
21,1v2,PM,C,62.5,aLaF,1,1,1,0,29
22,1v2,PM,C,68.75,aLaF,1,1,1,0,25
23,1v2,PM,C,62.5,aLaF,1,1,1,0,35
24,1v2,PM,C,62.5,aLaF,1,1,1,0,32
25,1v2,PM,C,87.5,aLaF,1,1,1,0,23
26,1v2,PM,C,87.5,aLaF,1,1,1,0,31
27,1v2,PM,C,81.25,aLaF,1,1,1,0,31
28,1v2,PM,C,62.5,aLaF,1,1,1,0,29
29,1v2,PM,C,50,aLaF,1,1,1,0,25
30,1v2,PM,C,62.5,aLaF,1,1,1,0,21
1,1v2,aIFS,C,93.75,aLaF,1,1,0,0,30
2,1v2,aIFS,C,93.75,aLaF,1,1,0,0,30
3,1v2,aIFS,C,68.75,aLaF,1,1,0,0,24
4,1v2,aIFS,C,87.5,aLaF,1,1,0,0,24
5,1v2,aIFS,C,62.5,aLaF,1,1,0,0,28
6,1v2,aIFS,C,100,aLaF,1,1,0,0,23
7,1v2,aIFS,C,81.25,aLaF,1,1,0,0,22
8,1v2,aIFS,C,93.75,aLaF,1,1,0,0,24
9,1v2,aIFS,C,81.25,aLaF,1,1,0,0,23
10,1v2,aIFS,C,56.25,aLaF,1,1,0,0,33
11,1v2,aIFS,C,81.25,aLaF,1,1,0,0,21
12,1v2,aIFS,C,93.75,aLaF,1,1,0,0,28
13,1v2,aIFS,C,87.5,aLaF,1,1,0,1,25
14,1v2,aIFS,C,81.25,aLaF,1,1,0,1,30
15,1v2,aIFS,C,50,aLaF,1,1,0,1,22
16,1v2,aIFS,C,87.5,aLaF,1,1,0,1,33
17,1v2,aIFS,C,81.25,aLaF,1,1,0,1,28
18,1v2,aIFS,C,87.5,aLaF,1,1,1,0,34
19,1v2,aIFS,C,56.25,aLaF,1,1,1,0,29
20,1v2,aIFS,C,87.5,aLaF,1,1,1,0,24
21,1v2,aIFS,C,68.75,aLaF,1,1,1,0,29
22,1v2,aIFS,C,87.5,aLaF,1,1,1,0,25
23,1v2,aIFS,C,81.25,aLaF,1,1,1,0,35
24,1v2,aIFS,C,25,aLaF,1,1,1,0,32
25,1v2,aIFS,C,75,aLaF,1,1,1,0,23
26,1v2,aIFS,C,100,aLaF,1,1,1,0,31
27,1v2,aIFS,C,81.25,aLaF,1,1,1,0,31
28,1v2,aIFS,C,75,aLaF,1,1,1,0,29
29,1v2,aIFS,C,62.5,aLaF,1,1,1,0,25
30,1v2,aIFS,C,81.25,aLaF,1,1,1,0,21
1,1v2,pIFS,C,100,aLaF,1,1,0,0,30
2,1v2,pIFS,C,87.5,aLaF,1,1,0,0,30
3,1v2,pIFS,C,100,aLaF,1,1,0,0,24
4,1v2,pIFS,C,100,aLaF,1,1,0,0,24
5,1v2,pIFS,C,62.5,aLaF,1,1,0,0,28
6,1v2,pIFS,C,100,aLaF,1,1,0,0,23
7,1v2,pIFS,C,87.5,aLaF,1,1,0,0,22
8,1v2,pIFS,C,93.75,aLaF,1,1,0,0,24
9,1v2,pIFS,C,93.75,aLaF,1,1,0,0,23
10,1v2,pIFS,C,50,aLaF,1,1,0,0,33
11,1v2,pIFS,C,93.75,aLaF,1,1,0,0,21
12,1v2,pIFS,C,100,aLaF,1,1,0,0,28
13,1v2,pIFS,C,81.25,aLaF,1,1,0,1,25
14,1v2,pIFS,C,75,aLaF,1,1,0,1,30
15,1v2,pIFS,C,87.5,aLaF,1,1,0,1,22
16,1v2,pIFS,C,81.25,aLaF,1,1,0,1,33
17,1v2,pIFS,C,87.5,aLaF,1,1,0,1,28
18,1v2,pIFS,C,87.5,aLaF,1,1,1,0,34
19,1v2,pIFS,C,50,aLaF,1,1,1,0,29
20,1v2,pIFS,C,81.25,aLaF,1,1,1,0,24
21,1v2,pIFS,C,87.5,aLaF,1,1,1,0,29
22,1v2,pIFS,C,62.5,aLaF,1,1,1,0,25
23,1v2,pIFS,C,93.75,aLaF,1,1,1,0,35
24,1v2,pIFS,C,62.5,aLaF,1,1,1,0,32
25,1v2,pIFS,C,100,aLaF,1,1,1,0,23
26,1v2,pIFS,C,93.75,aLaF,1,1,1,0,31
27,1v2,pIFS,C,81.25,aLaF,1,1,1,0,31
28,1v2,pIFS,C,62.5,aLaF,1,1,1,0,29
29,1v2,pIFS,C,68.75,aLaF,1,1,1,0,25
30,1v2,pIFS,C,62.5,aLaF,1,1,1,0,21
1,1v3,IPS,C,87.5,aLaF,1,1,0,0,30
2,1v3,IPS,C,81.25,aLaF,1,1,0,0,30
3,1v3,IPS,C,62.5,aLaF,1,1,0,0,24
4,1v3,IPS,C,93.75,aLaF,1,1,0,0,24
5,1v3,IPS,C,50,aLaF,1,1,0,0,28
6,1v3,IPS,C,87.5,aLaF,1,1,0,0,23
7,1v3,IPS,C,100,aLaF,1,1,0,0,22
8,1v3,IPS,C,18.75,aLaF,1,1,0,0,24
9,1v3,IPS,C,75,aLaF,1,1,0,0,23
10,1v3,IPS,C,62.5,aLaF,1,1,0,0,33
11,1v3,IPS,C,87.5,aLaF,1,1,0,0,21
12,1v3,IPS,C,56.25,aLaF,1,1,0,0,28
13,1v3,IPS,C,62.5,aLaF,1,1,0,1,25
14,1v3,IPS,C,93.75,aLaF,1,1,0,1,30
15,1v3,IPS,C,100,aLaF,1,1,0,1,22
16,1v3,IPS,C,81.25,aLaF,1,1,0,1,33
17,1v3,IPS,C,93.75,aLaF,1,1,0,1,28
18,1v3,IPS,C,62.5,aLaF,1,1,1,0,34
19,1v3,IPS,C,37.5,aLaF,1,1,1,0,29
20,1v3,IPS,C,50,aLaF,1,1,1,0,24
21,1v3,IPS,C,37.5,aLaF,1,1,1,0,29
22,1v3,IPS,C,75,aLaF,1,1,1,0,25
23,1v3,IPS,C,62.5,aLaF,1,1,1,0,35
24,1v3,IPS,C,81.25,aLaF,1,1,1,0,32
25,1v3,IPS,C,81.25,aLaF,1,1,1,0,23
26,1v3,IPS,C,87.5,aLaF,1,1,1,0,31
27,1v3,IPS,C,87.5,aLaF,1,1,1,0,31
28,1v3,IPS,C,31.25,aLaF,1,1,1,0,29
29,1v3,IPS,C,75,aLaF,1,1,1,0,25
30,1v3,IPS,C,68.75,aLaF,1,1,1,0,21
1,1v3,AIFO,C,87.5,aLaF,1,1,0,0,30
2,1v3,AIFO,C,93.75,aLaF,1,1,0,0,30
3,1v3,AIFO,C,100,aLaF,1,1,0,0,24
4,1v3,AIFO,C,68.75,aLaF,1,1,0,0,24
5,1v3,AIFO,C,68.75,aLaF,1,1,0,0,28
6,1v3,AIFO,C,75,aLaF,1,1,0,0,23
7,1v3,AIFO,C,87.5,aLaF,1,1,0,0,22
8,1v3,AIFO,C,43.75,aLaF,1,1,0,0,24
9,1v3,AIFO,C,93.75,aLaF,1,1,0,0,23
10,1v3,AIFO,C,68.75,aLaF,1,1,0,0,33
11,1v3,AIFO,C,87.5,aLaF,1,1,0,0,21
12,1v3,AIFO,C,68.75,aLaF,1,1,0,0,28
13,1v3,AIFO,C,75,aLaF,1,1,0,1,25
14,1v3,AIFO,C,81.25,aLaF,1,1,0,1,30
15,1v3,AIFO,C,93.75,aLaF,1,1,0,1,22
16,1v3,AIFO,C,100,aLaF,1,1,0,1,33
17,1v3,AIFO,C,93.75,aLaF,1,1,0,1,28
18,1v3,AIFO,C,68.75,aLaF,1,1,1,0,34
19,1v3,AIFO,C,43.75,aLaF,1,1,1,0,29
20,1v3,AIFO,C,43.75,aLaF,1,1,1,0,24
21,1v3,AIFO,C,75,aLaF,1,1,1,0,29
22,1v3,AIFO,C,75,aLaF,1,1,1,0,25
23,1v3,AIFO,C,31.25,aLaF,1,1,1,0,35
24,1v3,AIFO,C,81.25,aLaF,1,1,1,0,32
25,1v3,AIFO,C,43.75,aLaF,1,1,1,0,23
26,1v3,AIFO,C,93.75,aLaF,1,1,1,0,31
27,1v3,AIFO,C,100,aLaF,1,1,1,0,31
28,1v3,AIFO,C,12.5,aLaF,1,1,1,0,29
29,1v3,AIFO,C,87.5,aLaF,1,1,1,0,25
30,1v3,AIFO,C,87.5,aLaF,1,1,1,0,21
1,1v3,IFJ,C,93.75,aLaF,1,1,0,0,30
2,1v3,IFJ,C,75,aLaF,1,1,0,0,30
3,1v3,IFJ,C,100,aLaF,1,1,0,0,24
4,1v3,IFJ,C,62.5,aLaF,1,1,0,0,24
5,1v3,IFJ,C,81.25,aLaF,1,1,0,0,28
6,1v3,IFJ,C,100,aLaF,1,1,0,0,23
7,1v3,IFJ,C,100,aLaF,1,1,0,0,22
8,1v3,IFJ,C,56.25,aLaF,1,1,0,0,24
9,1v3,IFJ,C,93.75,aLaF,1,1,0,0,23
10,1v3,IFJ,C,68.75,aLaF,1,1,0,0,33
11,1v3,IFJ,C,81.25,aLaF,1,1,0,0,21
12,1v3,IFJ,C,81.25,aLaF,1,1,0,0,28
13,1v3,IFJ,C,56.25,aLaF,1,1,0,1,25
14,1v3,IFJ,C,81.25,aLaF,1,1,0,1,30
15,1v3,IFJ,C,93.75,aLaF,1,1,0,1,22
16,1v3,IFJ,C,93.75,aLaF,1,1,0,1,33
17,1v3,IFJ,C,100,aLaF,1,1,0,1,28
18,1v3,IFJ,C,75,aLaF,1,1,1,0,34
19,1v3,IFJ,C,62.5,aLaF,1,1,1,0,29
20,1v3,IFJ,C,75,aLaF,1,1,1,0,24
21,1v3,IFJ,C,75,aLaF,1,1,1,0,29
22,1v3,IFJ,C,75,aLaF,1,1,1,0,25
23,1v3,IFJ,C,12.5,aLaF,1,1,1,0,35
24,1v3,IFJ,C,87.5,aLaF,1,1,1,0,32
25,1v3,IFJ,C,87.5,aLaF,1,1,1,0,23
26,1v3,IFJ,C,87.5,aLaF,1,1,1,0,31
27,1v3,IFJ,C,100,aLaF,1,1,1,0,31
28,1v3,IFJ,C,50,aLaF,1,1,1,0,29
29,1v3,IFJ,C,81.25,aLaF,1,1,1,0,25
30,1v3,IFJ,C,93.75,aLaF,1,1,1,0,21
1,1v3,ACC,C,100,aLaF,1,1,0,0,30
2,1v3,ACC,C,75,aLaF,1,1,0,0,30
3,1v3,ACC,C,87.5,aLaF,1,1,0,0,24
4,1v3,ACC,C,87.5,aLaF,1,1,0,0,24
5,1v3,ACC,C,50,aLaF,1,1,0,0,28
6,1v3,ACC,C,62.5,aLaF,1,1,0,0,23
7,1v3,ACC,C,100,aLaF,1,1,0,0,22
8,1v3,ACC,C,12.5,aLaF,1,1,0,0,24
9,1v3,ACC,C,100,aLaF,1,1,0,0,23
10,1v3,ACC,C,75,aLaF,1,1,0,0,33
11,1v3,ACC,C,100,aLaF,1,1,0,0,21
12,1v3,ACC,C,62.5,aLaF,1,1,0,0,28
13,1v3,ACC,C,50,aLaF,1,1,0,1,25
14,1v3,ACC,C,87.5,aLaF,1,1,0,1,30
15,1v3,ACC,C,87.5,aLaF,1,1,0,1,22
16,1v3,ACC,C,100,aLaF,1,1,0,1,33
17,1v3,ACC,C,87.5,aLaF,1,1,0,1,28
18,1v3,ACC,C,50,aLaF,1,1,1,0,34
19,1v3,ACC,C,25,aLaF,1,1,1,0,29
20,1v3,ACC,C,50,aLaF,1,1,1,0,24
21,1v3,ACC,C,75,aLaF,1,1,1,0,29
22,1v3,ACC,C,100,aLaF,1,1,1,0,25
23,1v3,ACC,C,62.5,aLaF,1,1,1,0,35
24,1v3,ACC,C,62.5,aLaF,1,1,1,0,32
25,1v3,ACC,C,50,aLaF,1,1,1,0,23
26,1v3,ACC,C,100,aLaF,1,1,1,0,31
27,1v3,ACC,C,100,aLaF,1,1,1,0,31
28,1v3,ACC,C,0,aLaF,1,1,1,0,29
29,1v3,ACC,C,75,aLaF,1,1,1,0,25
30,1v3,ACC,C,75,aLaF,1,1,1,0,21
1,1v3,PM,C,100,aLaF,1,1,0,0,30
2,1v3,PM,C,75,aLaF,1,1,0,0,30
3,1v3,PM,C,68.75,aLaF,1,1,0,0,24
4,1v3,PM,C,81.25,aLaF,1,1,0,0,24
5,1v3,PM,C,50,aLaF,1,1,0,0,28
6,1v3,PM,C,75,aLaF,1,1,0,0,23
7,1v3,PM,C,81.25,aLaF,1,1,0,0,22
8,1v3,PM,C,25,aLaF,1,1,0,0,24
9,1v3,PM,C,75,aLaF,1,1,0,0,23
10,1v3,PM,C,81.25,aLaF,1,1,0,0,33
11,1v3,PM,C,87.5,aLaF,1,1,0,0,21
12,1v3,PM,C,43.75,aLaF,1,1,0,0,28
13,1v3,PM,C,37.5,aLaF,1,1,0,1,25
14,1v3,PM,C,75,aLaF,1,1,0,1,30
15,1v3,PM,C,81.25,aLaF,1,1,0,1,22
16,1v3,PM,C,68.75,aLaF,1,1,0,1,33
17,1v3,PM,C,56.25,aLaF,1,1,0,1,28
18,1v3,PM,C,56.25,aLaF,1,1,1,0,34
19,1v3,PM,C,68.75,aLaF,1,1,1,0,29
20,1v3,PM,C,43.75,aLaF,1,1,1,0,24
21,1v3,PM,C,56.25,aLaF,1,1,1,0,29
22,1v3,PM,C,62.5,aLaF,1,1,1,0,25
23,1v3,PM,C,50,aLaF,1,1,1,0,35
24,1v3,PM,C,62.5,aLaF,1,1,1,0,32
25,1v3,PM,C,81.25,aLaF,1,1,1,0,23
26,1v3,PM,C,75,aLaF,1,1,1,0,31
27,1v3,PM,C,68.75,aLaF,1,1,1,0,31
28,1v3,PM,C,37.5,aLaF,1,1,1,0,29
29,1v3,PM,C,50,aLaF,1,1,1,0,25
30,1v3,PM,C,87.5,aLaF,1,1,1,0,21
1,1v3,aIFS,C,81.25,aLaF,1,1,0,0,30
2,1v3,aIFS,C,75,aLaF,1,1,0,0,30
3,1v3,aIFS,C,81.25,aLaF,1,1,0,0,24
4,1v3,aIFS,C,62.5,aLaF,1,1,0,0,24
5,1v3,aIFS,C,56.25,aLaF,1,1,0,0,28
6,1v3,aIFS,C,93.75,aLaF,1,1,0,0,23
7,1v3,aIFS,C,87.5,aLaF,1,1,0,0,22
8,1v3,aIFS,C,37.5,aLaF,1,1,0,0,24
9,1v3,aIFS,C,81.25,aLaF,1,1,0,0,23
10,1v3,aIFS,C,56.25,aLaF,1,1,0,0,33
11,1v3,aIFS,C,87.5,aLaF,1,1,0,0,21
12,1v3,aIFS,C,68.75,aLaF,1,1,0,0,28
13,1v3,aIFS,C,50,aLaF,1,1,0,1,25
14,1v3,aIFS,C,81.25,aLaF,1,1,0,1,30
15,1v3,aIFS,C,56.25,aLaF,1,1,0,1,22
16,1v3,aIFS,C,81.25,aLaF,1,1,0,1,33
17,1v3,aIFS,C,81.25,aLaF,1,1,0,1,28
18,1v3,aIFS,C,75,aLaF,1,1,1,0,34
19,1v3,aIFS,C,31.25,aLaF,1,1,1,0,29
20,1v3,aIFS,C,56.25,aLaF,1,1,1,0,24
21,1v3,aIFS,C,75,aLaF,1,1,1,0,29
22,1v3,aIFS,C,81.25,aLaF,1,1,1,0,25
23,1v3,aIFS,C,31.25,aLaF,1,1,1,0,35
24,1v3,aIFS,C,68.75,aLaF,1,1,1,0,32
25,1v3,aIFS,C,62.5,aLaF,1,1,1,0,23
26,1v3,aIFS,C,81.25,aLaF,1,1,1,0,31
27,1v3,aIFS,C,87.5,aLaF,1,1,1,0,31
28,1v3,aIFS,C,6.25,aLaF,1,1,1,0,29
29,1v3,aIFS,C,75,aLaF,1,1,1,0,25
30,1v3,aIFS,C,56.25,aLaF,1,1,1,0,21
1,1v3,pIFS,C,81.25,aLaF,1,1,0,0,30
2,1v3,pIFS,C,62.5,aLaF,1,1,0,0,30
3,1v3,pIFS,C,93.75,aLaF,1,1,0,0,24
4,1v3,pIFS,C,75,aLaF,1,1,0,0,24
5,1v3,pIFS,C,68.75,aLaF,1,1,0,0,28
6,1v3,pIFS,C,81.25,aLaF,1,1,0,0,23
7,1v3,pIFS,C,93.75,aLaF,1,1,0,0,22
8,1v3,pIFS,C,62.5,aLaF,1,1,0,0,24
9,1v3,pIFS,C,100,aLaF,1,1,0,0,23
10,1v3,pIFS,C,68.75,aLaF,1,1,0,0,33
11,1v3,pIFS,C,87.5,aLaF,1,1,0,0,21
12,1v3,pIFS,C,87.5,aLaF,1,1,0,0,28
13,1v3,pIFS,C,81.25,aLaF,1,1,0,1,25
14,1v3,pIFS,C,68.75,aLaF,1,1,0,1,30
15,1v3,pIFS,C,93.75,aLaF,1,1,0,1,22
16,1v3,pIFS,C,81.25,aLaF,1,1,0,1,33
17,1v3,pIFS,C,93.75,aLaF,1,1,0,1,28
18,1v3,pIFS,C,75,aLaF,1,1,1,0,34
19,1v3,pIFS,C,37.5,aLaF,1,1,1,0,29
20,1v3,pIFS,C,50,aLaF,1,1,1,0,24
21,1v3,pIFS,C,75,aLaF,1,1,1,0,29
22,1v3,pIFS,C,50,aLaF,1,1,1,0,25
23,1v3,pIFS,C,50,aLaF,1,1,1,0,35
24,1v3,pIFS,C,75,aLaF,1,1,1,0,32
25,1v3,pIFS,C,56.25,aLaF,1,1,1,0,23
26,1v3,pIFS,C,93.75,aLaF,1,1,1,0,31
27,1v3,pIFS,C,93.75,aLaF,1,1,1,0,31
28,1v3,pIFS,C,37.5,aLaF,1,1,1,0,29
29,1v3,pIFS,C,56.25,aLaF,1,1,1,0,25
30,1v3,pIFS,C,93.75,aLaF,1,1,1,0,21
1,1v4,IPS,C,62.5,aLaF,1,1,0,0,30
2,1v4,IPS,C,56.25,aLaF,1,1,0,0,30
3,1v4,IPS,C,87.5,aLaF,1,1,0,0,24
4,1v4,IPS,C,87.5,aLaF,1,1,0,0,24
5,1v4,IPS,C,68.75,aLaF,1,1,0,0,28
6,1v4,IPS,C,81.25,aLaF,1,1,0,0,23
7,1v4,IPS,C,62.5,aLaF,1,1,0,0,22
8,1v4,IPS,C,37.5,aLaF,1,1,0,0,24
9,1v4,IPS,C,75,aLaF,1,1,0,0,23
10,1v4,IPS,C,87.5,aLaF,1,1,0,0,33
11,1v4,IPS,C,75,aLaF,1,1,0,0,21
12,1v4,IPS,C,62.5,aLaF,1,1,0,0,28
13,1v4,IPS,C,87.5,aLaF,1,1,0,1,25
14,1v4,IPS,C,43.75,aLaF,1,1,0,1,30
15,1v4,IPS,C,75,aLaF,1,1,0,1,22
16,1v4,IPS,C,50,aLaF,1,1,0,1,33
17,1v4,IPS,C,75,aLaF,1,1,0,1,28
18,1v4,IPS,C,62.5,aLaF,1,1,1,0,34
19,1v4,IPS,C,12.5,aLaF,1,1,1,0,29
20,1v4,IPS,C,37.5,aLaF,1,1,1,0,24
21,1v4,IPS,C,18.75,aLaF,1,1,1,0,29
22,1v4,IPS,C,68.75,aLaF,1,1,1,0,25
23,1v4,IPS,C,68.75,aLaF,1,1,1,0,35
24,1v4,IPS,C,75,aLaF,1,1,1,0,32
25,1v4,IPS,C,62.5,aLaF,1,1,1,0,23
26,1v4,IPS,C,31.25,aLaF,1,1,1,0,31
27,1v4,IPS,C,56.25,aLaF,1,1,1,0,31
28,1v4,IPS,C,81.25,aLaF,1,1,1,0,29
29,1v4,IPS,C,68.75,aLaF,1,1,1,0,25
30,1v4,IPS,C,75,aLaF,1,1,1,0,21
1,1v4,AIFO,C,62.5,aLaF,1,1,0,0,30
